data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,206969478,211896986,16,
2024,206969478,211896987,10,
2024,206969479,211896986,17,
2024,206969479,211896987,25,
2024,206969302,211896820,18,
2024,206969340,211896856,21,
2024,206969286,211896798,19,
2024,206969393,211896907,16,
2024,206969431,211896942,18,
2024,206969537,211897045,16,
2024,206969537,211897046,16,
2024,206969347,211896862,16,
2024,206969347,211896863,16,
2024,208797176,213711551,18,
2024,206969382,211896896,1,
2024,206969454,211896963,17,
2024,206969454,211896964,25,
2024,206969455,211896963,25,
2024,206969455,211896964,5,
2024,206969527,211897033,1,
2024,206969558,211897066,24,
2024,206969563,211897072,18,
2024,206969563,211897073,18,
2024,206969649,211897159,18,
2024,206969523,211897028,24,
2024,206969523,211897029,18,
2024,206969559,211897067,16,
2024,206969559,211897068,16,
2024,206969633,211897149,15,
2024,206969634,211897149,16,
2024,206969635,211897149,16,
2024,206969636,211897149,18,
2024,206969637,211897149,16,
2024,210436271,215339781,16,
2024,210436271,215339782,16,
2024,206969641,211897152,1,
2024,206969556,211897064,5,
2024,206969587,211897099,24,
2024,206969609,211897124,24,
2024,206969638,211897150,1,
2024,206969640,211897150,18,
2024,206969702,211897214,16,
2024,206969666,211897177,18,
2024,206969666,211897178,18,
2024,206969700,211897212,3,
2024,206969730,211897243,16,
2024,206969729,211897242,9,
2024,206969681,211897189,16,
2024,206969613,211897127,19,
2024,206969671,211897181,1,
2024,206969709,211897221,18,
2024,206969709,211897222,25,
2024,206969710,211897221,25,
2024,206969710,211897222,18,
2024,206969744,211897257,19,
2024,206969857,211897376,16,
2024,206969664,211897175,14,
2024,206969699,211897210,20,
2024,206969699,211897211,5,
2024,206969836,211897352,3,
2024,206969881,211897390,16,
2024,206969705,211897217,3,
2024,206969738,211897251,18,
2024,206969800,211897316,1,
2024,206969843,211897361,18,
2024,206969843,211897363,18,
2024,206969878,211897387,24,
2024,206969749,211897262,16,
2024,214212629,219087933,24,
2024,206969911,211897424,16,
2024,206969947,211897463,16,
2024,206969948,211897463,16,
2024,208797286,213711655,17,
2024,206970019,211897529,9,
2024,206970019,211897530,1,
2024,206970021,211897529,1,
2024,206970021,211897530,9,
2024,206969882,211897391,1,
2024,206969914,211897427,5,
2024,206969914,211897428,5,
2024,206970196,211897720,1,
2024,206970196,211897721,25,
2024,206970196,211897722,1,
2024,206970197,211897720,1,
2024,206970197,211897721,1,
2024,206970197,211897722,25,
2024,206969845,211897365,3,
2024,206969889,211897398,18,
2024,206969889,211897399,18,
2024,206969889,211897400,18,
2024,206969889,211897401,18,
2024,206969890,211897398,18,
2024,206969890,211897399,18,
2024,206969890,211897400,18,
2024,206969890,211897401,18,
2024,206969975,211897492,16,
2024,206970080,211897590,18,
2024,206969877,211897386,19,
2024,206969931,211897444,16,
2024,206969931,211897445,16,
2024,206970114,211897631,1,
2024,206969978,211897494,1,
2024,206969979,211897494,1,
2024,206970148,211897669,3,
2024,206970015,211897525,3,
2024,206970015,211897526,16,
2024,206970008,211897518,1,
2024,206970009,211897518,1,
2024,206970048,211897557,1,
2024,208797187,213711563,21,
2024,208797188,213711563,1,
2024,208797370,213711736,16,
2024,208797404,213711771,16,
2024,208797165,213711538,16,
2024,208797165,213711539,1,
2024,208797350,213711712,25,
2024,208797350,213711713,24,
2024,208797351,213711712,24,
2024,208797351,213711713,25,
2024,217935309,222795321,1,
2024,208797271,213711643,18,
2024,208797305,213711668,17,
2024,208797203,213711579,9,
2024,208797424,213711792,3,
2024,208797220,213711594,18,
2024,210436023,215339539,24,
2024,208797442,213711809,3,
2024,208797442,213711810,1,
2024,208797442,213711811,25,
2024,208797443,213711809,1,
2024,208797443,213711810,25,
2024,208797443,213711811,1,
2024,208797237,213711611,16,
2024,208797237,213711612,16,
2024,208797453,213711822,11,
2024,208797453,213711823,18,
2024,208797275,213711647,18,
2024,208797353,213711715,16,
2024,208797353,213711716,16,
2024,208797421,213711789,21,
2024,208797421,213711790,13,
2024,208797448,213711817,24,
2024,208797448,213711819,24,
2024,208797417,213711785,1,
2024,208797457,213711827,24,
2024,208797494,213711859,3,
2024,208797544,213711908,19,
2024,208797513,213711880,25,
2024,208797513,213711881,3,
2024,208797514,213711880,3,
2024,208797514,213711881,25,
2024,208797555,213711919,3,
2024,208797535,213711898,3,
2024,208797579,213711941,18,
2024,208797481,213711847,16,
2024,208797481,213711848,25,
2024,208797483,213711847,25,
2024,208797483,213711848,16,
2024,208797520,213711886,1,
2024,208797521,213711886,1,
2024,208797556,213711920,16,
2024,208797596,213711961,3,
2024,208797467,213711836,21,
2024,208797503,213711869,15,
2024,208797542,213711905,16,
2024,208797610,213711976,1,
2024,208797646,213712014,3,
2024,208797507,213711873,24,
2024,208797545,213711909,1,
2024,208797588,213711953,25,
2024,208797588,213711954,9,
2024,208797589,213711953,9,
2024,208797589,213711954,25,
2024,208797722,213712096,16,
2024,208797608,213711975,16,
2024,208797609,213711975,16,
2024,208797697,213712069,16,
2024,208797697,213712070,16,
2024,208797742,213712118,25,
2024,208797742,213712119,3,
2024,208797743,213712118,3,
2024,208797743,213712119,25,
2024,208797691,213712064,3,
2024,208797719,213712094,16,
2024,208797720,213712094,1,
2024,208797616,213711985,24,
2024,208797823,213712195,16,
2024,208797824,213712195,16,
2024,208797635,213712002,1,
2024,208797791,213712162,1,
2024,208797833,213712206,16,
2024,208797833,213712207,16,
2024,208797766,213712136,16,
2024,208797810,213712183,16,
2024,208797845,213712219,24,
2024,208797845,213712220,24,
2024,208797678,213712051,20,
2024,208797847,213712222,1,
2024,208797707,213712081,25,
2024,208797707,213712082,9,
2024,208797708,213712081,9,
2024,208797708,213712082,25,
2024,208797908,213712285,16,
2024,208797898,213712276,9,
2024,208797939,213712316,14,
2024,208797803,213712175,16,
2024,208797945,213712322,3,
2024,208797977,213712358,24,
2024,208797978,213712358,24,
2024,208797820,213712192,25,
2024,208797820,213712193,18,
2024,208797821,213712192,18,
2024,208797821,213712193,25,
2024,208797864,213712241,16,
2024,208797995,213712375,18,
2024,208797860,213712236,16,
2024,208797860,213712237,18,
2024,208797989,213712368,16,
2024,208797989,213712369,16,
2024,208798018,213712400,26,
2024,208798018,213712402,1,
2024,208797893,213712272,1,
2024,208797894,213712272,1,
2024,208797933,213712311,1,
2024,208798014,213712396,17,
2024,208798012,213712394,16,
2024,208798012,213712395,18,
2024,208798013,213712394,16,
2024,208798013,213712395,18,
2024,208797921,213712299,3,
2024,208797998,213712378,18,
2024,208798032,213712417,3,
2024,208798082,213712469,21,
2024,208797969,213712351,1,
2024,208798001,213712380,16,
2024,208797990,213712370,16,
2024,208798105,213712494,16,
2024,208798174,213712573,3,
2024,208798055,213712440,18,
2024,208798197,213712592,24,
2024,208798050,213712436,16,
2024,208798050,213712437,16,
2024,208798083,213712470,21,
2024,208798144,213712541,1,
2024,208798144,213712542,1,
2024,208798144,213712543,1,
2024,208798072,213712458,16,
2024,214212312,219087632,16,
2024,208798141,213712538,16,
2024,208798135,213712532,1,
2024,208798202,213712595,18,
2024,208798203,213712596,16,
2024,208798204,213712596,16,
2024,208798409,213712805,18,
2024,208798181,213712578,14,
2024,208798226,213712619,24,
2024,208798257,213712653,17,
2024,208798291,213712680,1,
2024,208798291,213712681,1,
2024,208798291,213712682,9,
2024,208798247,213712642,1,
2024,208798292,213712683,16,
2024,208798293,213712683,16,
2024,208798294,213712683,16,
2024,208798338,213712730,19,
2024,208798338,213712731,25,
2024,208798339,213712730,25,
2024,208798339,213712731,19,
2024,208798348,213712740,1,
2024,208798249,213712644,9,
2024,208798270,213712663,1,
2024,208798335,213712727,1,
2024,229496612,234350717,22,
2024,225402867,230238650,15,
2024,225402867,230238651,15,
2024,225402869,230238650,15,
2024,225402869,230238651,15,
2024,225402979,230238754,9,
2024,229496687,234350789,1,
2024,225403041,230238826,15,
2024,225403041,230238827,15,
2024,225403042,230238826,15,
2024,225403042,230238827,15,
2024,225402966,230238742,16,
2024,225403001,230238781,3,
2024,225403061,230238847,3,
2024,225403061,230238848,3,
2024,225403062,230238847,3,
2024,225403062,230238848,3,
2024,227369639,232204988,1,
2024,227369545,232204879,27,
2024,227369581,232204925,16,
2024,227369581,232204927,16,
2024,227369680,232205033,19,
2024,227369682,232205033,17,
2024,229496589,234350692,3,
2024,227369644,232204993,21,
2024,227369710,232205070,13,
2024,220856852,225707845,15,
2024,220856751,225707747,16,
2024,220856752,225707747,16,
2024,220856753,225707747,1,
2024,220856809,225707803,25,
2024,220856809,225707804,17,
2024,220856810,225707803,5,
2024,220856810,225707804,25,
2024,220856740,225707733,16,
2024,220856784,225707776,27,
2024,220856817,225707811,24,
2024,220856801,225707794,1,
2024,220858266,225709215,1,
