yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
57002024,5700,2024,IN0060500,IN0060500,,N,N,,I,WHITESTOWN,TOWN MARSHAL WHITESTOWN,Whitestown,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,14097,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,1,36,2,3,5,2.6,2.9,2013-01-01,2017-07-01,2017-07-01,2017-11-01,2021-10-01,2017-11-01,N,BOONE,"Indianapolis-Carmel-Greenwood, IN",Y,Y,Y
57012024,5701,2024,IN0070000,IN0070000,,N,N,,I,BROWN,BROWN CO SO NASHVILLE,Brown,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,15793,27128,INUCR0001,Indiana State Police,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,N,,,,,,,,,2013-01-01,2020-10-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,BROWN,"Indianapolis-Carmel-Greenwood, IN",Y,Y,Y
57052024,5705,2024,IN0090100,IN0090100,,N,N,,I,LOGANSPORT,LOGANSPORT PD,Logansport,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,18197,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,2,38,2,2,4,2.1,2.3,2013-01-01,2019-04-01,2019-04-01,2019-07-01,2019-07-01,2019-07-01,N,CASS,Not Specified,Y,Y,Y
57062024,5706,2024,IN0100000,IN0100000,,N,N,,I,CLARK,CLARK CO SO JEFFERSONVILLE,Clark,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,32378,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,36,76,112,2,25,27,1.2,4.3,2013-01-01,2018-01-01,2018-01-01,2020-11-01,2020-11-01,2020-11-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57072024,5707,2024,IN0100100,IN0100100,,N,N,,I,CHARLESTOWN,CHARLESTOWN PD,Charlestown,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,8685,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,1,16,1,1,2,1.8,2.1,2013-01-01,2020-01-01,2020-01-01,2020-11-01,2020-11-01,2020-11-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57082024,5708,2024,IN0100200,IN0100200,,N,N,,I,CLARKSVILLE,CLARKSVILLE PD,Clarksville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,22174,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,52,2,54,2,4,6,2.4,2.7,2013-01-01,2020-01-01,2020-01-01,2021-02-01,2021-02-01,2021-02-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57092024,5709,2024,IN0100300,IN0100300,,N,N,,I,JEFFERSONVILLE,JEFFERSONVILLE PD,Jeffersonville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,51804,27128,INUCR0001,Indiana State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,N,,,,,,,,,2013-01-01,2018-05-01,2018-05-01,2021-02-01,2021-02-01,2021-02-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57112024,5711,2024,IN0110000,IN0110000,,N,N,,I,CLAY,CLAY CO SO BRAZIL,Clay,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,17684,27128,INUCR0001,Indiana State Police,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,15,44,59,0,21,21,0.8,4.5,2013-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,CLAY,"Terre Haute, IN",Y,Y,Y
57122024,5712,2024,IN0110100,IN0110100,,N,N,,I,BRAZIL,BRAZIL PD,Brazil,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,8228,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CLAY,"Terre Haute, IN",Y,Y,Y
57132024,5713,2024,IN0120000,IN0120000,,N,N,,I,CLINTON,CLINTON CO SO FRANKFORT,Clinton,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,16443,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,22,34,56,3,19,22,1.5,4.7,2013-01-01,2020-06-01,2020-06-01,2020-11-01,2020-11-01,2020-11-01,N,CLINTON,Not Specified,Y,Y,Y
57142024,5714,2024,IN0120100,IN0120100,,N,N,,I,FRANKFORT,FRANKFORT PD,Frankfort,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,16313,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,5,40,2,2,4,2.3,2.7,2013-01-01,2019-07-01,2019-07-01,2019-09-01,2019-09-01,2019-09-01,N,CLINTON,Not Specified,Y,Y,Y
