data_year,victim_id,injury_id
2024,220864910,5
2024,220864747,3
2024,220864893,4
2024,223753678,3
2024,220864768,5
2024,220864769,5
2024,223753700,5
2024,223753589,5
2024,223753671,5
2024,223753677,5
2024,223753698,5
2024,223753647,5
2024,223753703,4
2024,223753718,5
2024,223753782,4
2024,223753733,5
2024,223753772,4
2024,223753773,4
2024,223753788,5
2024,223753831,5
2024,223753780,4
2024,223753818,4
2024,223753887,5
2024,223753865,5
2024,223753953,5
2024,223753954,5
2024,223753922,5
2024,223753937,5
2024,223754011,4
2024,223753919,4
2024,223753958,4
2024,223754015,5
2024,223754043,4
2024,223754124,4
2024,223754125,5
2024,223754082,5
2024,223754089,4
2024,223754128,4
2024,223754201,5
2024,223754203,5
2024,223754292,5
2024,223754317,5
2024,223754368,4
2024,223754369,4
2024,223754358,4
2024,223754309,5
2024,223754375,4
2024,223754452,5
2024,223754394,5
2024,223754552,5
2024,223754574,5
2024,223754575,5
2024,223754613,5
2024,223754532,4
2024,223754653,5
2024,223754505,5
2024,223754546,5
2024,223754547,5
2024,223754548,5
2024,223754657,5
2024,223754626,4
2024,223754650,5
2024,223754745,4
2024,211764009,2
2024,211764083,5
2024,211764121,4
2024,211764122,5
2024,211764124,5
2024,211764133,5
2024,211764162,5
2024,214212453,4
2024,214212395,5
2024,214212474,5
2024,214212475,5
2024,214212476,5
2024,214212589,4
2024,214212558,4
2024,214212672,5
2024,214212578,5
2024,214212710,5
2024,214212563,4
2024,214212565,5
2024,214212613,4
2024,214212587,4
2024,214212623,4
2024,214212797,4
2024,214212845,2
2024,214212638,4
2024,214212696,5
2024,214212818,5
2024,214212695,5
2024,214212784,4
2024,214212780,5
2024,214212781,5
2024,214212867,4
2024,214212912,5
2024,214212865,5
2024,214212814,5
2024,214212953,4
2024,214212954,5
2024,214213048,4
2024,214212904,2
2024,214213134,5
2024,214213246,5
2024,214212946,4
2024,214213024,4
2024,214213069,4
2024,214213133,5
2024,214213049,4
2024,214213098,5
2024,214213103,5
2024,214213105,5
2024,214213052,4
2024,214213197,4
2024,214213252,5
2024,214213255,5
2024,214213050,4
2024,214213243,4
2024,214213323,5
2024,214213383,4
2024,214213384,4
2024,214213447,2
2024,214213316,4
2024,214213224,4
2024,214213225,4
2024,214213334,4
2024,214213436,2
2024,214213238,5
2024,214213240,5
2024,214213241,5
2024,214213420,4
2024,214213458,5
2024,214213498,4
2024,214213709,5
2024,214213648,5
2024,214213598,4
2024,214214020,5
2024,214213742,4
2024,214213565,4
2024,214213801,5
2024,214213902,2
2024,214213904,2
2024,214213798,5
2024,214213850,5
2024,214214078,5
2024,214213869,5
2024,214213834,5
2024,214213835,5
2024,214213872,5
2024,214214107,4
2024,214214016,4
2024,214214017,4
2024,214214002,4
2024,214214003,4
2024,214214004,5
2024,214214144,5
2024,214214189,4
2024,214214066,5
2024,214214067,4
2024,214214110,4
2024,214214111,4
2024,214214139,4
2024,217935382,4
2024,214214129,5
2024,214214132,5
2024,225406755,5
2024,217937084,4
2024,214214228,5
2024,214214229,4
2024,214214331,5
2024,214214332,4
2024,214214172,5
2024,214214380,4
2024,214214262,5
2024,214214271,5
2024,214214294,5
2024,217935446,4
2024,217937136,5
2024,217937137,5
2024,217937162,8
2024,217937165,8
2024,217935607,4
2024,217935559,4
2024,217935593,2
2024,217937320,2
2024,217937218,4
2024,217935868,4
2024,217937358,4
2024,217935769,4
2024,217935873,4
2024,217937283,4
2024,217935781,4
2024,217935904,4
2024,217936018,4
2024,217935882,4
2024,217935883,5
2024,217935884,5
2024,217937440,5
2024,217937514,4
2024,217935853,5
2024,217937525,5
2024,217937425,5
2024,217936034,5
2024,217937511,4
2024,217936094,5
2024,217937646,4
2024,217937621,4
2024,217937622,4
2024,217936056,5
2024,217936058,5
2024,217937597,4
2024,217936189,5
2024,217936177,4
2024,217937645,4
2024,217936097,5
2024,217936170,4
2024,217936273,4
2024,217936274,5
2024,217936115,4
2024,217937706,4
2024,217937678,5
2024,217936321,3
2024,217936322,2
2024,217936310,5
2024,217937652,4
2024,217936270,4
2024,217936313,4
2024,217936437,5
2024,217936438,5
2024,217936439,5
2024,217936413,5
2024,217936414,5
2024,217937901,5
2024,217937782,5
2024,217936549,5
2024,217937880,5
2024,217936488,4
2024,217936489,4
2024,217936490,5
2024,217936491,4
2024,217936492,4
2024,217936493,5
2024,217936525,5
2024,217937809,5
2024,217936624,4
2024,217937869,5
2024,217937830,4
2024,217936657,5
2024,217936721,5
2024,217936787,5
2024,217936788,4
2024,217936799,4
2024,217938024,4
2024,217936813,4
2024,217938040,4
2024,217938041,4
2024,217938082,5
2024,217938083,5
2024,217938084,5
2024,217936876,4
2024,217936948,2
2024,217938393,4
2024,217938439,4
2024,217938410,4
2024,217938462,5
2024,217938498,2
2024,217938429,2
2024,217938412,4
2024,217938566,4
2024,217938551,2
2024,217938508,4
2024,217938632,5
2024,217938509,4
2024,217938584,5
2024,217938610,5
2024,217938574,5
2024,217938575,5
2024,217938774,4
2024,217938599,4
2024,217938626,4
2024,217938617,5
2024,217936816,5
2024,217938693,5
2024,217938625,5
2024,217938660,2
2024,217938720,2
2024,217938745,4
2024,217938746,4
2024,217938688,2
2024,217938752,5
2024,217938738,4
2024,217938689,2
2024,217938916,5
2024,217938821,4
2024,217938915,5
2024,217938802,5
2024,217938971,4
2024,217938954,5
2024,217938991,4
2024,217938876,4
2024,217939180,4
2024,217938850,4
2024,217938887,5
2024,217938922,2
2024,217938955,5
2024,217938939,5
2024,217938976,4
2024,217939004,5
2024,217939027,5
2024,217939022,5
2024,217939121,5
2024,217939198,2
2024,217939115,4
2024,217939152,2
2024,217939153,2
2024,217939213,5
2024,217939167,4
2024,217939075,5
2024,217939076,5
2024,217939230,4
2024,217939179,4
2024,217939241,2
2024,217939154,4
2024,217939156,4
2024,217939205,5
2024,217939139,5
2024,217939311,5
2024,217939144,5
2024,217939155,4
2024,217939340,4
2024,217939341,5
2024,217939287,5
2024,217939334,5
2024,217939397,5
2024,217939328,4
2024,219695982,4
2024,217939427,4
2024,217939429,4
2024,217939471,4
2024,217939567,4
2024,217939662,5
2024,217939477,5
2024,217939668,4
2024,217939695,4
2024,217939601,5
2024,217939663,4
2024,217939664,4
2024,217939665,4
2024,217939800,5
2024,217939763,5
2024,217939764,5
2024,217939796,4
2024,217939797,4
2024,217939855,2
2024,217939878,5
2024,219695829,5
2024,219695915,4
2024,219696096,5
2024,219695914,4
2024,219695965,4
2024,219695973,4
2024,219695974,4
2024,219696095,5
2024,219695928,4
2024,219696028,4
2024,219696087,5
2024,219696088,5
2024,219696046,5
2024,219696183,4
2024,219696126,4
2024,219696128,4
2024,219696237,5
2024,219696277,5
2024,219696184,4
2024,219696189,4
2024,219696190,4
2024,219696216,4
2024,219696375,4
2024,219696345,4
2024,219696234,4
2024,219696275,4
2024,219696220,3
2024,219696220,4
2024,219696327,4
2024,219696306,5
2024,219696346,4
2024,219696507,4
2024,219696555,3
2024,219696447,2
2024,219696447,3
2024,219696587,5
2024,219696569,5
2024,219696454,4
2024,219696597,4
2024,219696623,5
2024,219696525,5
2024,219696526,5
2024,219696582,5
2024,219696584,2
2024,219696467,4
2024,219696612,5
2024,219696649,4
2024,219696673,4
2024,219696715,2
2024,219696716,2
2024,223754736,4
2024,223754737,4
2024,223754738,4
2024,223754698,4
2024,223754699,4
