data_year,criminal_act_id,offense_id
2024,9,232418371
2024,9,232418431
2024,9,232418345
2024,9,232418396
2024,9,232418329
2024,9,232418498
2024,9,232418334
2024,9,232418344
2024,9,232418528
2024,6,232418406
2024,9,232418478
2024,9,232418522
2024,9,232418585
2024,9,234171580
2024,9,232418614
2024,9,232418655
2024,9,232418748
2024,9,232418842
2024,9,232418662
2024,9,232418846
2024,9,232418870
2024,9,232418782
2024,9,232418843
2024,9,232418976
2024,9,232418941
2024,9,232418973
2024,9,232419031
2024,9,232419051
2024,9,234171422
2024,9,234171503
2024,9,234171681
2024,6,234171460
2024,6,234171464
2024,6,234171512
2024,3,234171513
2024,6,234171509
2024,6,234171510
2024,9,234171506
2024,9,234171560
2024,6,234171660
2024,6,234171662
2024,9,234171571
2024,9,234171686
2024,9,234171520
2024,9,234171624
2024,9,234171677
2024,9,234171641
2024,2,234171728
2024,9,234171770
2024,9,234171717
2024,9,234171822
2024,9,234171860
2024,9,234171776
2024,9,234171802
2024,6,234171855
2024,6,234171857
2024,9,234171963
2024,9,234171936
2024,9,234171820
2024,9,234171858
2024,9,234171805
2024,9,234171912
2024,9,234171889
2024,9,234171934
2024,9,234172087
2024,6,234171915
2024,6,234171916
2024,9,234172135
2024,9,234172030
2024,9,234172164
2024,9,234172145
2024,9,234172036
2024,9,234172176
2024,9,234172195
2024,6,234172060
2024,6,234172061
2024,9,234172106
2024,9,234172157
2024,9,234172160
2024,9,234172049
2024,9,234172186
2024,9,234172222
2024,9,234172245
2024,9,234172285
2024,9,234172107
2024,9,234172267
2024,9,234172318
2024,6,234172371
2024,9,234172119
2024,9,234172184
2024,9,234172275
2024,9,234172305
2024,9,234172207
2024,9,234172368
2024,9,234172197
2024,9,234172282
2024,9,234172433
2024,9,234172230
2024,9,234172272
2024,9,234172422
2024,6,234172410
2024,6,234172473
2024,9,234172303
2024,9,234172345
2024,9,234172458
2024,9,234172390
2024,9,234172515
2024,9,234172471
2024,9,234172511
2024,9,234172599
2024,9,234172497
2024,9,234172635
2024,6,234172478
2024,9,234172522
2024,9,234172626
2024,6,234172659
2024,9,234172586
2024,6,234172530
2024,6,234172531
2024,9,234172642
2024,6,234172573
2024,6,234172574
2024,9,234172608
2024,9,234172671
2024,9,234172663
2024,9,234172691
2024,6,234172662
2024,9,234172687
2024,3,234172688
2024,9,234172823
2024,9,234172690
2024,9,234172717
2024,9,234172704
2024,9,234172798
2024,9,234172703
2024,9,235344266
2024,9,235343996
2024,9,235344120
2024,9,235343995
2024,9,235344033
2024,9,235344151
2024,9,235344161
2024,9,235344198
2024,9,235344173
2024,9,235344022
2024,9,235344087
2024,6,235344162
2024,6,235344163
2024,9,235344157
2024,6,235344245
2024,9,235344277
2024,9,235344260
2024,9,235344261
2024,9,235344323
2024,9,235344184
2024,9,235344333
2024,9,235344362
2024,9,235344412
2024,9,235344329
2024,9,235344375
2024,9,235344299
2024,9,235344372
2024,6,235344370
2024,9,235344454
2024,9,235344482
2024,9,235344376
2024,9,235344377
2024,9,235344421
2024,9,235344410
2024,9,235344572
2024,9,235344646
2024,9,235344707
2024,9,235344604
2024,9,235344683
2024,9,235344675
2024,9,235344720
2024,9,235344696
2024,9,235344738
2024,9,235344587
2024,9,235344628
2024,3,235344704
2024,6,235344705
2024,9,235344789
2024,9,235344613
2024,9,235344614
2024,9,235344797
2024,9,235344902
2024,9,235344811
2024,9,235344928
2024,9,235344923
2024,9,235344970
2024,9,235344872
2024,9,235344907
2024,9,235344799
2024,9,235344800
2024,9,235345029
2024,9,235344948
2024,6,235344995
2024,9,235344988
2024,9,235345020
2024,9,235345103
2024,9,235345072
2024,9,235345111
2024,6,235345164
2024,6,235345165
2024,9,235344986
2024,9,235345114
2024,9,235345026
2024,9,235345101
2024,9,235345095
2024,9,235345136
2024,9,235345231
2024,9,235345215
2024,9,235345303
2024,9,235345173
2024,9,235345284
2024,9,235345397
2024,9,235345183
2024,11,235345189
2024,9,235345306
2024,9,235345281
2024,9,235345326
2024,9,235345421
2024,9,235345356
2024,9,235345398
2024,9,235345444
2024,6,235345289
2024,9,235345332
2024,9,235345371
2024,9,235345415
2024,9,235345459
2024,9,235345446
2024,9,235345343
2024,3,235345386
2024,9,235345491
2024,9,235345532
2024,9,235345584
2024,9,235345657
2024,9,235345538
2024,9,235345539
2024,9,235345591
2024,9,235345527
2024,9,239867764
2024,6,239867791
2024,9,239867751
2024,9,239867984
2024,9,239867781
2024,6,239867982
2024,9,239867818
2024,9,239867819
2024,9,239867916
2024,9,239867953
2024,9,239868041
2024,9,239867889
2024,6,239867937
2024,9,239867944
2024,6,239868045
2024,9,239868087
2024,9,239867908
2024,6,239868441
2024,9,239867965
2024,9,239867966
2024,8,239868034
2024,9,239867976
2024,9,239868026
2024,9,239867988
2024,6,219787433
2024,6,219787402
2024,9,224900797
2024,8,219787535
2024,9,219787557
2024,9,219787566
2024,9,219787593
2024,6,219787588
2024,9,219787657
2024,6,230317378
2024,6,230317379
2024,10,221397350
2024,9,219787601
