data_year,suspect_using_id,offense_id
2024,4,230319620
2024,4,230319734
2024,4,230319765
2024,1,230319604
2024,3,230319604
2024,4,230319646
2024,4,230319689
2024,4,230319702
2024,1,230319730
2024,3,230319773
2024,3,230319774
2024,3,235341112
2024,3,230319629
2024,3,230319630
2024,4,230319778
2024,4,230319814
2024,4,232410354
2024,4,232410375
2024,3,232410408
2024,4,232410441
2024,4,232410335
2024,3,232410399
2024,4,235341255
2024,4,232410473
2024,4,232410511
2024,4,232410324
2024,4,232410466
2024,4,234168849
2024,3,232410389
2024,4,232410425
2024,4,232410455
2024,3,232410494
2024,3,232410495
2024,4,232410559
2024,1,232410332
2024,3,235341313
2024,4,234168893
2024,4,232410397
2024,4,232410432
2024,4,235341085
2024,4,234169084
2024,4,232410417
2024,4,239863998
2024,4,221408604
2024,4,221408650
2024,4,221408523
2024,4,221408538
2024,1,221408585
2024,4,221408621
2024,4,221408532
2024,4,221408584
2024,4,221408661
2024,4,221408694
2024,4,221408724
2024,4,221408618
2024,4,221408656
2024,4,221408725
2024,4,221408763
2024,4,221408812
2024,4,221408637
2024,4,221408765
2024,4,239867627
2024,4,221408658
2024,4,221408687
2024,4,221408719
2024,4,221408749
2024,4,223253260
2024,1,221408808
2024,4,221408851
2024,4,221408879
2024,4,221408919
2024,4,221408723
2024,1,221408758
2024,3,221408758
2024,1,221408759
2024,3,221408759
2024,4,221408893
2024,4,221408935
2024,4,221408936
2024,4,221408774
2024,4,221408810
2024,4,221408874
2024,4,221408907
2024,4,221408942
2024,4,221408757
2024,4,221408859
2024,4,221408860
2024,4,221408896
2024,4,221408934
2024,4,221408995
2024,4,221408796
2024,4,221408815
2024,4,223253307
2024,4,223253309
2024,4,221408908
2024,4,221408954
2024,4,221408955
2024,4,221408956
2024,4,221409000
2024,4,221408828
2024,4,221408870
2024,4,221408871
2024,4,221408850
2024,4,221408918
2024,4,221408949
2024,4,221408986
2024,3,221408976
2024,4,221409014
2024,4,221409046
2024,4,221409101
2024,4,221409019
2024,4,221409056
2024,4,221409057
2024,1,221409104
2024,4,221408982
2024,4,221409015
2024,4,221409092
2024,4,221409134
2024,4,221408939
2024,4,224909228
2024,4,221409182
2024,4,221408998
2024,4,221409027
2024,2,221409066
2024,4,221409097
2024,4,221408987
2024,4,221409048
2024,4,221409012
