data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,56237437,,51
2024,56677494,,52
2024,56677475,,51
2024,56677483,,51
2024,56677492,,51
2024,56677493,,51
2024,56677505,,51
2024,56677506,,52
2024,56677547,,51
2024,56677552,,51
2024,56677561,,51
2024,56677563,,51
2024,56677589,,51
2024,56677591,,51
2024,56677590,,51
2024,56677621,,52
2024,56677677,,51
2024,56677701,,51
2024,56677664,,51
2024,57164040,,51
2024,57164022,,51
2024,57164055,,51
2024,57164005,,51
2024,57164065,,51
2024,57164075,,51
2024,57164076,,51
2024,57164074,,51
2024,57164088,,51
2024,57164102,,51
2024,57164057,,5
2024,57164090,,51
2024,57164089,,51
2024,57164116,,51
2024,57164113,,52
2024,57164134,,51
2024,57164118,,51
2024,57164146,,51
2024,57164151,,51
2024,57164119,,51
2024,57164120,,51
2024,57164165,,51
2024,57164162,,51
2024,57164174,,5
2024,57164191,,51
2024,57164161,,51
2024,57164164,,51
2024,57164166,,51
2024,57164243,,51
2024,57164209,,51
2024,57164221,,51
2024,57164228,,51
2024,57164259,,51
2024,57164213,,51
2024,57164260,,51
2024,57164274,,51
2024,57164282,,51
2024,57164331,,51
2024,57164325,,51
2024,57164310,,51
2024,57164320,,51
2024,57164303,,51
2024,57164371,,51
2024,57164351,,51
2024,57628738,,51
2024,57628717,,53
2024,57628778,,51
2024,57628814,,51
2024,57628910,,51
2024,57628911,,51
2024,57628869,,5
2024,57628918,,51
2024,57628886,,51
2024,57628905,,51
2024,57628906,,51
2024,57628922,,52
2024,57628913,,51
2024,57628921,,51
2024,57628930,,51
2024,57628923,,51
2024,57628934,,51
2024,57628924,,51
2024,57628951,,52
2024,57628959,,51
2024,57628966,,51
2024,57628979,,51
2024,57628988,,51
2024,57628989,,51
2024,57628974,,51
2024,57628976,,51
2024,57629007,,51
2024,57629025,,51
2024,57629055,,51
2024,57629056,,51
2024,57629041,,51
2024,57629088,,51
2024,57629084,,51
2024,57629096,,51
2024,57629102,,51
2024,57629109,,51
2024,57629112,,51
2024,57629178,,51
2024,57629203,,51
2024,57629224,,51
2024,57629195,,51
2024,57629218,,52
2024,57997374,,51
2024,57997390,,51
2024,57997406,,51
2024,57997417,,51
2024,57997434,,51
2024,57997435,,51
2024,57997422,,52
2024,57997423,,52
2024,57997471,,51
2024,57997450,,51
2024,57997540,,51
2024,57997530,,51
2024,57997557,,51
2024,57997567,,51
2024,57997533,,51
2024,57997536,,51
2024,57997591,,51
2024,57997577,,51
2024,57997614,,51
2024,57997585,,51
2024,57997604,,51
2024,57997596,,51
2024,57997607,,53
2024,57997628,,52
2024,57997652,,51
2024,57997653,,51
2024,57997681,,52
2024,57997695,,51
2024,57997714,,51
2024,57997698,,51
2024,57997765,,51
2024,57997705,,51
2024,57997728,,51
2024,61864108,,51
2024,57997756,,51
2024,58714209,,51
2024,58714201,,51
2024,58714203,,5
2024,58714215,,51
2024,58714225,,51
2024,58714233,,51
2024,58714278,,51
2024,58714241,,51
2024,58714306,,51
2024,58714281,,51
2024,58714265,,51
2024,58714312,,51
2024,58714300,,5
2024,58714337,,52
2024,58714320,,51
2024,58714322,,51
2024,58714335,,51
2024,58714389,,51
2024,58714358,,51
2024,58714377,,51
2024,58714409,,5
2024,58714346,,51
2024,58714347,,51
2024,58714371,,51
2024,58714390,,51
2024,58714370,,51
2024,58714372,,51
2024,58714531,,51
2024,58714451,,51
2024,58714432,,51
2024,58714471,,51
2024,58714498,,51
2024,58714526,,51
2024,58714534,,52
2024,58714532,,51
2024,58714527,,51
2024,58714545,,5
2024,58714541,,51
2024,58714563,,51
2024,58714560,,9
2024,58714561,,51
2024,58714573,,51
2024,58714634,,51
2024,58714569,,51
2024,58714581,,52
2024,58714638,,51
2024,58714672,,51
2024,58714654,,51
2024,58714657,,51
2024,58714678,,51
2024,58714709,,51
2024,58714766,,51
2024,58714703,,51
2024,58714727,,53
2024,58714730,,53
2024,58714711,,51
2024,58714723,,51
2024,58714725,,51
2024,58714726,,51
2024,58714745,,51
2024,58714736,,51
2024,58714751,,51
2024,58714764,,52
2024,58714779,,51
2024,58714742,,51
2024,59756712,,51
2024,58714758,,51
2024,58714770,,51
2024,59757250,,51
2024,58714809,,51
2024,59756735,,51
2024,59756789,,51
2024,59756764,,51
2024,59757288,,51
2024,59756790,,51
2024,59756828,,51
2024,59756801,,51
2024,59756845,,51
2024,59757313,,51
2024,59756805,,51
2024,59756806,,51
2024,59757388,,51
2024,59756851,,51
2024,59756864,,51
2024,59756892,,51
2024,59757373,,51
2024,59756886,,51
2024,59756939,,51
2024,59757425,,51
2024,59757426,,51
2024,59756903,,51
2024,59756945,,51
2024,59757434,,51
2024,59756974,,51
2024,59757451,,51
2024,59756944,,51
2024,59756973,,51
2024,59757436,,51
2024,59757513,,51
2024,59756989,,51
2024,59757009,,5
2024,59757519,,51
2024,59757023,,51
2024,59757065,,51
2024,59757025,,51
2024,59757087,,51
2024,59757053,,51
2024,59757095,,51
2024,59757499,,51
2024,59757062,,51
2024,59757500,,51
2024,59757554,,51
2024,59757154,,51
2024,59757132,,51
2024,59757182,,51
2024,59757669,,5
2024,59757678,,51
2024,59757672,,51
2024,59757719,,51
2024,59757723,,51
2024,59757680,,52
2024,59757715,,51
2024,59757747,,51
2024,59757758,,51
2024,59757737,,51
2024,59757759,,51
2024,59757738,,51
2024,59757824,,51
2024,59757778,,51
2024,59757793,,51
2024,59757812,,51
2024,59757827,,51
2024,59757821,,51
2024,59757795,,51
2024,59757888,,51
2024,59757799,,51
2024,59757829,,51
2024,59757844,,51
2024,59757874,,51
2024,59757875,,51
2024,59757901,,51
2024,59757907,,51
2024,59757899,,51
2024,59757939,,51
2024,59757902,,51
2024,59757965,,51
2024,59757966,,51
2024,60243678,,51
2024,59757963,,51
2024,59757996,,51
2024,59758000,,51
2024,59758041,,51
2024,59758056,,51
2024,60243646,,51
2024,60243665,,51
2024,60243686,,51
2024,60243662,,51
2024,60243663,,51
2024,60243676,,51
2024,60243700,,51
2024,60243702,,51
2024,60243677,,51
2024,60243668,,51
2024,60243691,,51
2024,60243683,,5
2024,60243746,,51
2024,60243741,,5
2024,60243760,,51
2024,60243761,,51
2024,60243783,,52
2024,60243839,,51
2024,60243776,,51
2024,60243777,,51
2024,60243821,,51
2024,60243823,,51
2024,60243840,,51
2024,60243841,,51
2024,60243842,,51
2024,60243843,,51
2024,60243844,,51
2024,60243845,,51
2024,60583937,,51
2024,60243875,,51
2024,60243827,,51
2024,60243829,,51
2024,60243864,,51
2024,60243892,,51
2024,60243909,,51
2024,60243888,,51
2024,60243937,,51
2024,60243853,,51
2024,60243873,,51
2024,60243913,,51
2024,60243939,,51
2024,60243912,,51
2024,60243904,,51
2024,60243914,,51
2024,60243953,,51
2024,60243927,,51
2024,60243984,,51
2024,60243974,,51
2024,60244010,,51
2024,60243988,,51
2024,57159713,,51
2024,56237459,,51
2024,56237464,,51
2024,56237467,,51
2024,56237460,,51
2024,56674879,,51
2024,56674880,,51
2024,56674677,,51
2024,56237546,,51
2024,56237547,,51
2024,56237624,,51
2024,59169575,,51
2024,56674683,,51
2024,56674693,,51
2024,56237641,,51
2024,56237655,,51
2024,57626003,,51
2024,57626004,,51
2024,56674671,,52
2024,56674684,,51
2024,56674690,,5
2024,56674691,,51
2024,56674680,,51
2024,56674708,,51
2024,56674712,,51
2024,56674721,,51
2024,56674727,,51
2024,62991953,,51
2024,58711694,,5
2024,56675255,,51
2024,56674715,,51
2024,56674728,,51
2024,56674757,,51
2024,56674758,,5
2024,59169591,,51
2024,56675302,,51
2024,56674740,,51
2024,59169576,,51
2024,56674765,,51
2024,59169587,,51
2024,59169588,,51
2024,56674773,,51
2024,56674768,,51
2024,56674771,,51
2024,56674772,,51
2024,56674783,,51
2024,56674792,,51
2024,56674826,,51
2024,56674785,,51
2024,56674790,,51
2024,56674788,,51
2024,56674811,,51
2024,59169613,,51
2024,56674799,,51
2024,56674804,,51
2024,56674803,,51
2024,56674808,,5
2024,56674813,,51
2024,56674856,,51
2024,56674812,,51
2024,56674818,,51
2024,56674819,,51
2024,56674836,,51
2024,56674845,,51
2024,56674878,,51
2024,56674872,,51
2024,56674868,,51
2024,56674866,,51
2024,56674885,,51
2024,56674898,,51
2024,56674875,,51
2024,56674887,,51
2024,56675109,,51
2024,56674915,,51
2024,56674890,,51
2024,56675263,,5
2024,56674895,,5
2024,56674897,,51
2024,57159647,,51
2024,57159648,,51
2024,56675181,,51
2024,56674909,,51
2024,56674903,,51
2024,56674914,,51
2024,56674907,,51
2024,56674929,,51
2024,56674930,,5
2024,56674931,,51
2024,59169603,,51
2024,56674924,,51
2024,59169614,,51
2024,56674935,,51
2024,56674936,,51
2024,56674944,,51
2024,57626182,,51
2024,57626183,,51
2024,56674939,,51
2024,56674941,,51
2024,56674932,,51
2024,59167958,,51
2024,56674945,,51
2024,56674967,,51
2024,57159650,,51
2024,56674950,,1
2024,56674951,,1
2024,56674955,,51
