data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,17,185882710,97.000,1,17989071
2024,17,188578436,12.000,9,18398172
2024,17,188578523,58.600,1,18398188
2024,2,188578859,0.400,1,18398261
2024,17,188578923,1.100,1,18398278
2024,17,188579052,5.200,1,18398314
2024,17,188579149,8.000,9,18398342
2024,17,188579206,0.500,1,18398355
2024,17,188580887,7.500,9,18398858
2024,17,188581034,5.800,1,18398915
2024,17,188581054,10.500,1,18398919
2024,17,189875966,1.400,1,18591521
2024,17,189876017,101.100,1,18591530
2024,17,189876014,14.000,9,18591528
2024,17,189876117,5.300,1,18591547
2024,2,189876280,10.000,1,18591569
2024,17,189876328,22.000,1,18591574
2024,17,189876430,312.400,1,18591589
2024,17,189876667,0.900,1,18591638
2024,17,189876711,2.500,9,18591653
2024,17,189876716,1.300,1,18591657
2024,17,189876837,5.500,1,18591684
2024,17,189876747,7.500,1,18591665
2024,17,189876772,6.000,9,18591672
2024,17,189876844,3.800,1,18591685
2024,5,189876865,71.700,1,18591691
2024,17,190719291,2.100,1,18712671
2024,1,190719348,5.000,1,18712688
2024,17,190719439,0.700,1,18712713
2024,17,190719683,15.800,1,18712771
2024,17,190719879,23.700,1,18712821
2024,17,190719986,2.500,1,18712843
2024,17,190720063,2.900,1,18712853
2024,2,190720134,40.900,1,18712868
2024,17,194024752,5.000,9,19199763
2024,17,194024950,1.700,1,19199792
2024,17,194025238,2.600,1,19199856
2024,17,194025068,1.000,9,19199811
2024,17,194025102,5.600,1,19199820
2024,5,194025102,0.500,1,19199821
2024,17,194025029,33.000,9,19199803
2024,17,194025112,0.080,1,19199825
2024,17,194025230,5.600,1,19199855
2024,17,194025305,28.700,1,19199867
2024,17,194025401,26.700,1,19199878
2024,5,194025401,1.600,1,19199879
2024,17,194025406,969.800,1,19199881
2024,17,194025584,39.200,1,19199921
2024,17,194025958,6.100,1,19200004
2024,2,194025887,0.800,1,19199986
2024,2,194025903,9.500,1,19199991
2024,17,194026138,0.600,1,19200064
2024,17,194026181,21.800,1,19200076
2024,17,194026291,15.166,1,19200092
2024,17,194026429,7.400,1,19200119
2024,17,194026412,6.800,1,19200116
2024,17,195482962,1.400,1,19391462
2024,5,195482962,3.700,1,19391463
2024,17,195483139,13.160,1,19391504
2024,17,195483394,0.800,1,19391558
2024,17,195483367,4.500,1,19391553
2024,17,195483404,1.700,1,19391559
2024,17,195483411,33.000,9,19391562
2024,17,195483530,1.800,1,19391571
2024,17,195483557,37.200,1,19391578
2024,17,195483682,26.400,1,19391601
2024,17,195483853,3.600,1,19391645
2024,5,187078574,14.700,1,18167106
2024,5,187078398,1.000,1,18167041
2024,15,192806502,38.000,9,19017449
2024,5,192806502,2.000,1,19017450
2024,5,187078589,1.000,3,18167115
2024,5,192806674,101.800,1,19017483
2024,12,192807059,0.500,1,19017548
2024,5,192806805,1.000,1,19017512
2024,12,198957557,1.000,1,19885275
2024,1,198957552,1.000,1,19885274
2024,5,198957641,29.000,1,19885297
2024,12,198957639,1.000,1,19885296
2024,5,198957608,5.000,1,19885289
2024,5,198957749,8.300,1,19885322
2024,5,198957848,1.000,3,19885342
2024,12,184075544,0.038,3,17714330
2024,5,184075569,0.211,3,17714340
2024,12,184075569,1.000,9,17714341
2024,5,184075605,0.663,3,17714359
2024,5,184075552,113.552,3,17714331
2024,16,184075552,1.000,9,17714332
2024,16,184075552,0.423,3,17714333
2024,5,184075568,6.642,3,17714338
2024,8,184075568,2.286,3,17714339
2024,5,184075603,0.001,3,17714358
2024,8,198953910,1.093,3,19884013
2024,5,198953927,2.056,3,19884019
2024,5,184075704,0.027,3,17714377
2024,12,184075704,0.051,3,17714378
2024,5,184075715,0.817,3,17714381
2024,5,198953777,1.270,3,19883965
2024,5,189873454,0.035,3,18590701
2024,5,189873517,1.000,11,18590718
2024,12,190716480,0.680,3,18711957
2024,12,189873528,0.002,3,18590721
2024,2,189873612,0.123,3,18590748
2024,5,189873612,0.757,3,18590749
2024,12,189873612,0.044,3,18590750
2024,12,189873532,0.010,3,18590723
2024,2,189873704,0.176,3,18590773
2024,5,189873704,0.064,3,18590774
2024,16,189873704,0.176,3,18590775
2024,5,189873709,0.529,3,18590777
