data_year,weapon_id,offense_id,nibrs_weapon_id
2024,42,235343599,
2024,41,235343659,
2024,41,235343543,
2024,41,235343674,
2024,41,235343705,
2024,41,235343698,
2024,32,235343767,
2024,41,235343805,
2024,41,235343824,
2024,41,235343997,
2024,32,235343778,
2024,41,235343866,
2024,41,235343887,
2024,41,235343973,
2024,41,235343809,
2024,41,235343850,
2024,41,235343889,
2024,41,235343941,
2024,41,235343981,
2024,41,235344005,
2024,41,235344079,
2024,41,235343980,
2024,41,235344012,
2024,42,235344048,
2024,1,235344130,
2024,41,235344109,
2024,41,235344152,
2024,35,235344200,
2024,41,235344188,
2024,1,235344035,
2024,41,235344129,
2024,41,235344526,
2024,41,235344553,
2024,41,235344638,
2024,41,235344574,
2024,41,235344625,
2024,41,235344668,
2024,41,235344773,
2024,41,235344847,
2024,41,235344719,
2024,41,235344801,
2024,41,235344915,
2024,41,235344817,
2024,41,235344952,
2024,41,235345150,
2024,42,235345066,
2024,41,235345104,
2024,41,235345088,
2024,41,235345010,
2024,41,235345011,
2024,41,235345050,
2024,41,235345171,
2024,42,235345041,
2024,41,235345113,
2024,41,235345247,
2024,41,235345124,
2024,41,235345151,
2024,41,235345232,
2024,41,235345277,
2024,41,235345197,
2024,41,235345198,
2024,41,235345302,
2024,41,235345359,
2024,41,235345333,
2024,41,235345373,
2024,41,235345341,
2024,41,235345484,
2024,41,235345533,
2024,41,235345440,
2024,38,235345418,
2024,41,235345469,
2024,39,235345556,
2024,41,235345669,
2024,41,235345489,
2024,41,235345662,
2024,41,235345451,
2024,41,235345609,
2024,41,235345655,
2024,41,235345513,
2024,41,235345558,
2024,41,235345500,
2024,41,235345552,
2024,41,235345588,
2024,41,235345623,
2024,41,235345519,
2024,41,235345593,
2024,41,235345760,
2024,41,235345840,
2024,41,235345748,
2024,41,235345779,
2024,41,235345848,
2024,41,235345788,
2024,41,235345995,
2024,41,235345825,
2024,41,235346093,
2024,38,235345850,
2024,41,235345896,
2024,38,235345950,
2024,41,235346007,
2024,41,235345992,
2024,41,235346028,
2024,41,235346006,
2024,41,235346121,
2024,42,235346027,
2024,41,235346174,
2024,32,235346194,
2024,41,235346280,
2024,41,235346107,
2024,41,235346238,
2024,38,235346239,
2024,41,235346252,
2024,41,235346157,
2024,42,235346234,
2024,41,241816583,
2024,42,235346271,
2024,42,235346312,
2024,41,235346259,
2024,42,235346297,
2024,42,235346342,
2024,42,235346255,
2024,41,235346258,
2024,42,235346411,
2024,38,235346292,
2024,41,235346514,
2024,41,235346334,
2024,41,235346378,
2024,41,235346476,
2024,42,235346555,
2024,41,235346395,
