fips,county_name,total_emp,total_estab,total_payann,emp_11,emp_21,emp_22,emp_23,emp_31_33,emp_42,emp_44_45,emp_48_49,emp_51,emp_52,emp_53,emp_54,emp_55,emp_56,emp_61,emp_62,emp_71,emp_72,emp_81,estab_11,estab_21,estab_22,estab_23,estab_31_33,estab_42,estab_44_45,estab_48_49,estab_51,estab_52,estab_53,estab_54,estab_55,estab_56,estab_61,estab_62,estab_71,estab_72,estab_81,share_11,share_21,share_22,share_23,share_31_33,share_42,share_44_45,share_48_49,share_51,share_52,share_53,share_54,share_55,share_56,share_61,share_62,share_71,share_72,share_81,avg_annual_wage
18107,Montgomery,13846,869,794985,9.0,,,355.0,5179.0,372.0,1586.0,247.0,891.0,265.0,82.0,191.0,63.0,570.0,738.0,1348.0,49.0,1325.0,481.0,4.0,,,74.0,53.0,42.0,124.0,45.0,14.0,54.0,32.0,55.0,3.0,54.0,8.0,95.0,8.0,90.0,108.0,0.07,,,2.56,37.4,2.69,11.45,1.78,6.44,1.91,0.59,1.38,0.46,4.12,5.33,9.74,0.35,9.57,3.47,57416.0
18109,Morgan,13100,1241,559784,3.0,57.0,194.0,1177.0,2351.0,380.0,2063.0,251.0,79.0,423.0,139.0,388.0,,1107.0,95.0,1746.0,109.0,1763.0,771.0,3.0,5.0,10.0,187.0,69.0,38.0,168.0,55.0,21.0,76.0,63.0,98.0,,63.0,12.0,110.0,14.0,108.0,139.0,0.02,0.44,1.48,8.98,17.95,2.9,15.75,1.92,0.6,3.23,1.06,2.96,,8.45,0.73,13.33,0.83,13.46,5.89,42732.0
18115,Ohio,795,89,27585,,,,60.0,30.0,77.0,37.0,11.0,,18.0,14.0,32.0,,21.0,,89.0,,363.0,31.0,,,,15.0,4.0,5.0,5.0,4.0,,6.0,5.0,4.0,,5.0,,10.0,,11.0,11.0,,,,7.55,3.77,9.69,4.65,1.38,,2.26,1.76,4.03,,2.64,,11.19,,45.66,3.9,34698.0
18119,Owen,3965,342,169650,,,,200.0,1941.0,51.0,529.0,51.0,11.0,91.0,10.0,82.0,,50.0,12.0,368.0,58.0,338.0,147.0,,,,61.0,32.0,10.0,52.0,19.0,5.0,13.0,6.0,20.0,,10.0,4.0,29.0,7.0,30.0,41.0,,,,5.04,48.95,1.29,13.34,1.29,0.28,2.3,0.25,2.07,,1.26,0.3,9.28,1.46,8.52,3.71,42787.0
18127,Porter,55169,3714,3051308,8.0,34.0,240.0,3567.0,10292.0,2219.0,7591.0,2668.0,587.0,1037.0,881.0,2554.0,816.0,2338.0,1820.0,8425.0,790.0,6823.0,2479.0,3.0,4.0,13.0,407.0,151.0,157.0,464.0,174.0,42.0,210.0,178.0,363.0,11.0,226.0,47.0,439.0,49.0,369.0,405.0,0.01,0.06,0.44,6.47,18.66,4.02,13.76,4.84,1.06,1.88,1.6,4.63,1.48,4.24,3.3,15.27,1.43,12.37,4.49,55308.0
18131,Pulaski,3974,313,201426,,,,125.0,1605.0,294.0,478.0,118.0,11.0,121.0,17.0,68.0,,51.0,,581.0,15.0,239.0,169.0,,,,31.0,18.0,24.0,46.0,25.0,4.0,19.0,8.0,21.0,,13.0,,19.0,7.0,28.0,46.0,,,,3.15,40.39,7.4,12.03,2.97,0.28,3.04,0.43,1.71,,1.28,,14.62,0.38,6.01,4.25,50686.0
18141,St. Joseph,120386,5952,6232076,5.0,,174.0,4941.0,13683.0,5089.0,15376.0,4413.0,3365.0,3939.0,1536.0,5171.0,4249.0,5476.0,15520.0,19400.0,1118.0,11857.0,5073.0,5.0,,12.0,424.0,315.0,336.0,895.0,188.0,114.0,391.0,253.0,465.0,48.0,360.0,76.0,722.0,77.0,630.0,640.0,0.0,,0.14,4.1,11.37,4.23,12.77,3.67,2.8,3.27,1.28,4.3,3.53,4.55,12.89,16.11,0.93,9.85,4.21,51767.0
18149,Starke,3094,313,128029,,,,120.0,864.0,63.0,594.0,39.0,33.0,71.0,17.0,78.0,,246.0,42.0,332.0,6.0,390.0,187.0,,,,33.0,18.0,8.0,65.0,19.0,5.0,15.0,11.0,13.0,,15.0,4.0,23.0,3.0,29.0,50.0,,,,3.88,27.93,2.04,19.2,1.26,1.07,2.29,0.55,2.52,,7.95,1.36,10.73,0.19,12.61,6.04,41380.0
18153,Sullivan,3865,338,185694,9.0,538.0,182.0,108.0,521.0,164.0,564.0,62.0,19.0,90.0,4.0,106.0,,32.0,143.0,609.0,34.0,496.0,184.0,3.0,3.0,8.0,27.0,17.0,20.0,60.0,19.0,6.0,14.0,3.0,19.0,,11.0,4.0,37.0,4.0,38.0,45.0,0.23,13.92,4.71,2.79,13.48,4.24,14.59,1.6,0.49,2.33,0.1,2.74,,0.83,3.7,15.76,0.88,12.83,4.76,48045.0
18155,Switzerland,1310,139,45538,,,,50.0,89.0,,142.0,19.0,22.0,27.0,3.0,15.0,,,,143.0,29.0,663.0,44.0,,,,17.0,8.0,,23.0,7.0,5.0,7.0,3.0,11.0,,,,18.0,3.0,14.0,15.0,,,,3.82,6.79,,10.84,1.45,1.68,2.06,0.23,1.15,,,,10.92,2.21,50.61,3.36,34762.0
18159,Tipton,4610,311,213361,,,,384.0,1937.0,148.0,523.0,24.0,14.0,65.0,19.0,84.0,,65.0,,713.0,8.0,424.0,173.0,,,,39.0,20.0,15.0,44.0,15.0,5.0,16.0,10.0,20.0,,19.0,,39.0,5.0,24.0,37.0,,,,8.33,42.02,3.21,11.34,0.52,0.3,1.41,0.41,1.82,,1.41,,15.47,0.17,9.2,3.75,46282.0
