fips,county_name,total_population,median_household_income,median_home_value,poverty_rate,lfp_rate,bachelors_rate,civilian_labor_force,unemployment_rate,labor_force,employment,unemployment_level,rucc_code,rucc_label,is_metro,is_rural,last_updated
18133,Putnam,36942,70609,175600,8.91,56.22,12.86,17244,3.4,16653,16093,560,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18135,Randolph,24586,59674,97600,13.04,60.16,9.37,11756,3.2,11971,11583,388,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18137,Ripley,28990,70285,188400,9.62,65.49,10.66,15141,3.2,14153,13697,456,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18139,Rush,16716,62386,147200,11.71,60.28,10.4,8100,3.1,8145,7891,254,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18143,Scott,24403,49343,137200,15.77,58.53,7.79,11418,3.8,10069,9682,387,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18145,Shelby,44940,66449,170000,12.94,63.39,13.37,22814,3.0,22849,22169,680,1.0,Metro: 1M+ population,True,False,2026-03-08
18147,Spencer,19935,66168,168200,7.21,62.63,12.38,10126,3.2,10066,9745,321,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18141,St. Joseph,272388,61877,165700,14.42,63.85,19.16,137941,4.1,129917,124643,5274,2.0,Metro: 250K–1M,True,False,2026-03-08
18149,Starke,23308,59916,145600,13.58,53.73,8.63,9962,4.5,9228,8816,412,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18151,Steuben,34507,68837,187500,9.31,63.01,15.89,17832,3.3,17431,16854,577,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,2026-03-08
18153,Sullivan,20791,54556,115200,12.17,54.93,9.44,9412,3.4,9098,8786,312,3.0,Metro: <250K,True,False,2026-03-08
18155,Switzerland,9896,66525,162000,16.61,58.76,8.26,4600,3.7,4056,3907,149,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18157,Tippecanoe,186955,55728,199300,19.15,62.15,22.15,95328,2.9,99862,96967,2895,3.0,Metro: <250K,True,False,2026-03-08
18159,Tipton,15328,71947,150700,12.07,62.22,17.19,7785,3.5,7811,7534,277,1.0,Metro: 1M+ population,True,False,2026-03-08
18161,Union,7041,68514,149500,6.04,65.4,14.31,3762,2.8,3798,3691,107,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18163,Vanderburgh,179900,58839,162800,14.26,64.42,17.86,93728,3.3,89349,86397,2952,2.0,Metro: 250K–1M,True,False,2026-03-08
18165,Vermillion,15488,59567,99400,14.87,58.77,12.64,7371,4.0,7026,6746,280,3.0,Metro: <250K,True,False,2026-03-08
18167,Vigo,106355,52789,130300,19.95,59.82,15.14,52192,3.7,48493,46721,1772,3.0,Metro: <250K,True,False,2026-03-08
18169,Wabash,31032,66194,135800,10.97,59.25,13.55,14946,3.2,14692,14229,463,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18171,Warren,8454,72833,151400,12.55,62.22,13.6,4206,2.8,4577,4448,129,3.0,Metro: <250K,True,False,2026-03-08
18173,Warrick,64065,91105,215600,6.06,63.87,20.67,32674,3.0,33249,32248,1001,2.0,Metro: 250K–1M,True,False,2026-03-08
18175,Washington,28133,60695,158200,13.11,61.12,10.39,13746,3.1,13942,13508,434,1.0,Metro: 1M+ population,True,False,2026-03-08
18177,Wayne,66522,54854,119400,16.05,59.9,11.75,31950,3.5,30373,29325,1048,5.0,"Nonmetro: Urban 20K+, not adj",False,False,2026-03-08
18179,Wells,28167,68074,161300,6.37,66.5,13.63,14720,2.7,14931,14530,401,2.0,Metro: 250K–1M,True,False,2026-03-08
18181,White,24630,65345,153200,8.69,60.73,12.54,11864,3.2,11628,11252,376,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18183,Whitley,34259,73636,189800,9.14,65.44,16.72,17896,2.8,17830,17324,506,2.0,Metro: 250K–1M,True,False,2026-03-08
